epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.204,1.82257,2.37885,1.08265,0.26754,0.16477,0.12887,0.06924,1.65459,1.57553,1.00848,0.00332921,0.00332921,0.00332921
2,532.659,1.74912,1.64853,1.03559,0.19606,0.16817,0.13034,0.06961,1.77764,1.62232,1.02247,0.00659659,0.00659659,0.00659659
3,827.503,1.74996,1.5709,1.02255,0.24813,0.22311,0.17043,0.09433,1.64687,1.43794,0.99824,0.00979796,0.00979796,0.00979796
4,1111.43,1.74015,1.5326,1.01609,0.25682,0.22374,0.18063,0.09881,1.62723,1.44146,0.99532,0.009703,0.009703,0.009703
5,1376.47,1.71004,1.47137,1.0048,0.26806,0.23447,0.19454,0.10846,1.58383,1.3588,0.96984,0.009604,0.009604,0.009604
6,1610.09,1.66087,1.41009,0.99339,0.31082,0.24603,0.22016,0.12234,1.56435,1.30538,0.96487,0.009505,0.009505,0.009505
7,3323.94,1.64203,1.38131,0.98816,0.31648,0.24938,0.21801,0.12029,1.56626,1.28518,0.97093,0.009406,0.009406,0.009406
8,3554.19,1.61679,1.34396,0.98188,0.35171,0.25617,0.23476,0.13275,1.52686,1.24263,0.95521,0.009307,0.009307,0.009307
9,3792.61,1.59854,1.31725,0.97461,0.33349,0.26205,0.23357,0.13103,1.50945,1.23123,0.95461,0.009208,0.009208,0.009208
10,4037.22,1.59203,1.29547,0.97389,0.30753,0.26181,0.23372,0.13265,1.51502,1.23285,0.95037,0.009109,0.009109,0.009109
11,4306.33,1.57363,1.27459,0.96939,0.34123,0.26156,0.24202,0.13516,1.48446,1.21469,0.9466,0.00901,0.00901,0.00901
12,6305.31,1.56457,1.25559,0.96255,0.35217,0.27315,0.24906,0.13942,1.48964,1.19387,0.94686,0.008911,0.008911,0.008911
13,6560.96,1.5604,1.24654,0.96487,0.33788,0.28162,0.25092,0.14327,1.46287,1.17921,0.94079,0.008812,0.008812,0.008812
14,6810,1.54262,1.22306,0.95822,0.36216,0.28277,0.26361,0.1503,1.46813,1.15597,0.94156,0.008713,0.008713,0.008713
15,7035.78,1.54154,1.21235,0.95722,0.34644,0.28227,0.25767,0.14784,1.45986,1.15593,0.93564,0.008614,0.008614,0.008614
16,7355.71,1.52369,1.20148,0.95606,0.37017,0.27253,0.26033,0.14831,1.45124,1.1419,0.93469,0.008515,0.008515,0.008515
17,7607.13,1.51745,1.18679,0.95163,0.36229,0.29558,0.27175,0.15473,1.44811,1.12988,0.93535,0.008416,0.008416,0.008416
18,9519.69,1.51813,1.1854,0.94956,0.36795,0.29545,0.26869,0.153,1.44023,1.1197,0.93291,0.008317,0.008317,0.008317
19,9791.3,1.50334,1.17267,0.94989,0.38168,0.2931,0.27648,0.15807,1.43333,1.11078,0.93315,0.008218,0.008218,0.008218
20,11078.3,1.49603,1.15823,0.94906,0.3931,0.28065,0.27155,0.15471,1.42946,1.10531,0.93099,0.008119,0.008119,0.008119
21,11306.3,1.49458,1.15414,0.9461,0.37398,0.2887,0.27315,0.15776,1.42047,1.10671,0.93191,0.00802,0.00802,0.00802
22,11569.5,1.49456,1.14972,0.94839,0.37773,0.29577,0.28109,0.16116,1.41787,1.09896,0.92984,0.007921,0.007921,0.007921
23,11826.9,1.4843,1.13973,0.94443,0.396,0.29335,0.28262,0.16178,1.41036,1.09652,0.92849,0.007822,0.007822,0.007822
24,12092.9,1.4849,1.13804,0.94438,0.37234,0.29631,0.28033,0.15999,1.41279,1.10988,0.92868,0.007723,0.007723,0.007723
25,12360,1.48279,1.12816,0.94261,0.37979,0.30171,0.28726,0.1641,1.40816,1.08688,0.92827,0.007624,0.007624,0.007624
26,12598.1,1.47189,1.1215,0.94192,0.38308,0.29865,0.28692,0.16423,1.40936,1.09451,0.92475,0.007525,0.007525,0.007525
27,14117.7,1.46593,1.11625,0.94044,0.37481,0.29537,0.28234,0.16179,1.41139,1.0836,0.92373,0.007426,0.007426,0.007426
